trial_id,n_robots,frames_to_stability,boundary_crossings,consensus_frame,final_comfortable,final_lonely,final_crowded
1,30,19,0,14,30,0,0
2,30,26,2,21,30,0,0
3,30,52,5,47,30,0,0
4,30,24,0,19,30,0,0
5,30,21,1,16,30,0,0
6,30,23,0,18,30,0,0
7,30,28,0,23,30,0,0
8,30,50,0,45,30,0,0
9,30,60,22,55,30,0,0
10,30,47,18,42,30,0,0
11,30,37,1,32,30,0,0
12,30,24,5,19,30,0,0
13,30,32,3,27,30,0,0
14,30,26,4,21,30,0,0
15,30,42,8,37,30,0,0
16,30,22,1,17,30,0,0
17,30,36,3,31,30,0,0
18,30,15,9,10,30,0,0
19,30,33,9,28,30,0,0
20,30,15,0,10,30,0,0
21,30,33,5,28,30,0,0
22,30,21,3,16,30,0,0
23,30,17,0,12,30,0,0
24,30,41,4,19,30,0,0
25,30,17,2,12,30,0,0
26,30,30,0,11,30,0,0
27,30,39,190,23,29,1,0
28,30,28,0,12,30,0,0
29,30,31,2,26,30,0,0
30,30,22,1,17,30,0,0
